idx,spf,ppd,upc,uppcc,apt,deg
600,0.63,1.54,0.61,0.72,0.21,116.87
602,0.38,1.23,0.8,0.87,0.58,176.0
603,0.73,1.92,0.56,0.77,0.18,92.48
604,0.34,1.19,0.75,0.81,0.36,119.75
607,0.54,1.35,0.71,0.81,0.33,87.14
609,0.0,1.0,0.59,0.65,0.29,55.0
610,0.0,1.0,0.55,0.55,0.11,2.0
611,0.0,1.0,0.59,0.78,0.09,7.0
612,0.51,1.02,0.73,0.75,0.33,28.5
613,0.71,1.69,0.65,0.81,0.28,183.23
615,0.0,1.0,0.78,0.85,0.29,4.0
616,0.09,1.05,0.52,0.66,0.16,42.33
617,0.0,1.0,0.2,0.2,0.2,1.0
620,0.0,1.0,0.69,0.76,0.17,2.0
621,0.0,1.0,0.64,0.64,0.07,2.0
623,0.0,1.0,0.59,0.71,0.33,65.0
624,0.0,1.0,0.36,0.8,0.14,3.0
625,0.75,1.54,0.68,0.81,0.25,53.33
626,0.0,1.0,0.84,0.85,0.75,147.0
627,0.0,1.0,0.7,0.7,0.04,1.0
628,0.52,1.35,0.65,0.77,0.34,146.5
630,0.0,1.0,0.86,0.89,0.8,45.0
633,0.0,1.0,0.55,0.7,0.21,223.0
634,0.0,1.0,0.62,0.62,0.33,2.0
637,0.77,2.17,0.63,0.89,0.25,84.44
639,0.0,1.0,0.82,0.84,0.73,30.0
640,0.74,1.76,0.71,0.9,0.31,114.71
642,0.73,1.7,0.57,0.74,0.22,76.64
643,0.73,1.88,0.57,0.77,0.22,200.11
647,0.75,1.81,0.63,0.81,0.28,189.0
648,0.0,1.0,0.7,0.76,0.49,109.0
649,0.0,1.0,0.42,0.58,0.08,6.0
651,0.41,1.18,0.75,0.81,0.51,122.5
653,0.0,1.0,0.8,0.82,0.62,85.0
654,0.0,1.0,0.85,0.92,0.08,1.0
655,0.34,1.17,0.81,0.87,0.59,174.5
658,0.73,1.68,0.7,0.86,0.34,95.5
659,0.0,1.0,0.57,0.7,0.13,7.0
660,0.64,1.56,0.67,0.82,0.35,50.69
661,0.05,1.01,0.56,0.67,0.43,56.5
662,0.64,1.49,0.63,0.77,0.33,68.67
663,0.41,1.2,0.72,0.8,0.47,77.0
664,0.0,1.0,0.56,0.8,0.18,5.0
666,0.0,1.0,0.86,0.86,0.14,1.0
668,0.0,1.0,0.8,0.83,0.66,147.0
670,0.0,1.0,0.59,0.7,0.08,4.0
671,0.7,1.85,0.59,0.77,0.23,189.45
672,0.31,1.1,0.65,0.69,0.28,5.5
674,0.08,1.02,0.59,0.66,0.28,103.0
676,0.72,1.55,0.71,0.84,0.28,128.62
677,0.08,1.03,0.53,0.7,0.2,20.67
678,0.0,1.0,0.77,0.8,0.57,296.0
679,0.1,1.05,0.69,0.74,0.47,95.0
680,0.82,2.16,0.51,0.73,0.15,156.67
682,0.74,1.98,0.54,0.72,0.2,393.0
683,0.0,1.0,0.83,0.85,0.67,203.0
684,0.53,1.42,0.55,0.7,0.24,218.1
687,0.5,1.23,0.54,0.69,0.15,30.5
688,0.0,1.0,0.72,0.72,0.62,3.0
690,0.69,1.67,0.73,0.91,0.35,98.0
691,0.0,1.0,0.7,0.73,0.56,23.0
693,0.0,1.0,1.0,1.0,1.0,1.0
694,0.0,1.0,1.0,1.0,1.0,1.0
697,0.78,1.82,0.66,0.83,0.24,48.18
699,0.81,2.09,0.59,0.81,0.22,197.91
701,0.13,1.06,0.58,0.69,0.21,107.75
702,0.0,1.0,0.71,0.74,0.59,15.0
705,0.72,1.81,0.7,0.9,0.3,67.0
706,0.0,1.0,0.72,0.76,0.23,28.0
707,0.0,1.0,0.55,0.72,0.19,7.0
709,0.0,1.0,0.44,0.44,0.18,3.0
713,0.71,1.61,0.79,0.93,0.43,98.4
714,0.0,1.0,0.6,0.64,0.4,47.0
715,0.69,1.89,0.59,0.78,0.27,221.48
716,0.7,1.76,0.63,0.79,0.28,141.12
717,0.48,1.29,0.7,0.79,0.37,60.5
718,0.68,1.77,0.68,0.87,0.26,53.88
719,0.86,2.13,0.68,0.9,0.26,70.72
722,0.72,1.71,0.7,0.86,0.36,87.83
725,0.48,1.32,0.73,0.81,0.35,74.33
726,0.0,1.0,0.63,0.8,0.13,10.0
727,0.55,1.35,0.68,0.77,0.29,103.6
728,0.52,1.35,0.74,0.84,0.46,81.67
730,0.0,1.0,0.61,0.72,0.11,36.0
731,0.61,1.64,0.61,0.75,0.19,118.8
732,0.0,1.0,0.55,0.72,0.09,17.0
733,0.67,1.74,0.53,0.73,0.23,92.91
734,0.0,1.0,0.75,0.75,0.8,2.0
738,0.3,1.04,0.77,0.81,0.5,28.33
739,0.0,1.0,0.4,0.46,0.19,10.0
742,0.0,1.0,0.92,0.93,0.93,48.0
746,0.59,1.43,0.6,0.73,0.21,96.89
747,0.0,1.0,0.68,0.74,0.21,48.0
748,0.0,1.0,1.0,1.0,1.0,1.0
749,0.85,2.48,0.52,0.78,0.16,87.88
753,0.0,1.0,0.73,0.76,0.57,187.0
755,0.69,1.85,0.66,0.88,0.32,61.11
757,0.04,1.01,0.54,0.66,0.37,52.5
758,0.0,1.0,0.63,0.71,0.05,4.0
759,0.59,1.57,0.65,0.81,0.3,141.0
761,0.0,1.0,0.64,0.7,0.32,6.0
763,0.66,1.54,0.73,0.86,0.36,61.87
765,0.42,1.25,0.79,0.86,0.28,50.0
766,0.85,2.1,0.64,0.88,0.29,90.62
767,0.0,1.0,0.83,0.83,0.17,1.0
768,0.73,1.71,0.7,0.86,0.34,199.11
769,0.5,1.48,0.73,0.86,0.39,75.0
770,0.0,1.0,0.48,0.66,0.09,11.0
771,0.0,1.0,0.83,0.87,0.74,96.0
775,0.0,1.0,0.74,0.75,0.13,5.0
776,0.0,1.0,0.77,0.8,0.64,73.0
777,0.8,1.71,0.51,0.7,0.18,16.25
778,0.4,1.27,0.76,0.84,0.42,203.57
780,0.24,1.1,0.71,0.77,0.43,128.43
783,0.02,1.01,0.82,0.83,0.73,112.5
784,0.41,1.31,0.78,0.86,0.49,285.4
785,0.41,1.17,0.69,0.76,0.3,165.6
786,0.0,1.0,0.81,0.82,0.7,143.0
787,0.0,1.0,0.6,0.68,0.23,253.0
790,0.0,1.0,0.42,0.48,0.11,2.0
794,0.0,1.0,0.62,0.68,0.22,64.0
795,0.15,1.01,0.72,0.77,0.3,84.17
796,0.13,1.07,0.73,0.77,0.49,102.0
797,0.0,1.0,0.6,0.6,0.2,1.0
799,0.76,1.67,0.62,0.8,0.22,146.12
800,0.82,1.57,0.72,0.86,0.24,63.67
802,0.0,1.0,0.81,0.94,0.06,1.0
803,0.63,1.46,0.61,0.74,0.31,236.5
804,0.02,1.01,0.71,0.74,0.49,191.75
806,0.0,1.0,0.67,0.73,0.51,67.0
808,0.59,1.37,0.72,0.83,0.44,270.0
810,0.78,1.84,0.55,0.74,0.18,222.57
812,0.6,1.65,0.58,0.73,0.24,19.58
813,0.05,1.03,0.61,0.71,0.16,197.0
815,0.69,1.65,0.57,0.78,0.21,45.5
816,0.0,1.0,0.56,0.63,0.34,27.0
817,0.0,1.0,0.88,0.88,0.81,34.0
820,0.0,1.0,0.64,0.71,0.27,60.0
